0B-A;0B-V;8B-A;8B-V;16B-A;16B-V
94;194;97;201;109;205
93;196;97;201;99;205
96;194;97;203;100;206
94;195;100;201;99;208
94;194;98;201;102;206
94;197;97;201;100;205
103;195;97;210;100;205
94;195;99;201;100;207
94;194;97;201;101;205
94;196;97;201;99;205
103;195;97;203;99;205
94;194;99;201;100;207
94;194;97;200;101;206
94;196;97;201;100;206
103;195;97;211;99;206
94;195;107;201;100;215
94;195;97;201;109;206
93;204;98;201;100;205
101;194;97;210;100;205
94;194;105;201;99;215
93;195;97;201;106;206
94;204;97;201;99;205
